Source Link,Date  of adding Lead,Business Name,Location,Description of Business Operations,Asking Price,Revenue,Cash Flow or EBITDA,FF&E value,Real Estate information (if available),Calculated Profit Margin,Estimated Payback Period,Master Score ,SBA ,,Worker
Project (902): Scrapping and Data Mining,,,,,,,,,,,,,,,
California,,,,,,,,,,,,,,,
https://www.bizbuysell.com/Business-Opportunity/specialized-printing-and-sign-company-in-the-inland-empire/2291552/,,Specialized Printing & Sign Company in the Inland Empire,"San Bernardino County, CA","This 40+ year old Commercial Printing company has grown consistently since inception and is now available for a new owner to take it to the next level!

This business has seen Year-Over-Year growth of Revenue and in 2023 the business generated $1,829,207 in annual sales revenue and produced $254,291 in Seller Discretionary Earnings (SDE) for its Owner.

The business competes based on quality of services at a competitive price, responsiveness to customer service requests and reputation. Significant barriers to entry exist for under-capitalized competitors, as this company utilizes the latest equipment and technology to provide a full suite of services, including: Signs, Banners, Reprographics, Construction Bid Administration, Construction Printing and Document Scanning. The strength of the existing and new client relationships they have built has yielded high customer satisfaction ratings and online reviews.

Among the value-adds for the business, this opportunity offers the following:

All print, copy and scan capabilities are 100% operationally digital.
For projects beyond their capabilities, owner has built a network of collaborative vendors to who they outsource certain needs.
The business prides itself on being a multi-discipline business serving the needs of customers in many industries, focusing on Architectural, Engineering, Contracting, Educational, Health Care and Commercial Clients.

An ideal buyer for this company would be a business already operating in the print space or an industry-adjacent space.

The business currently has 1 working owner and several full-time employees. The owner is open to staying onboard for continued support as a salesperson/account manager.

For more information, please contact Greg Michail at (415) 438-0202 or at gmichail@sunbeltnetwork.com.

Disclaimer: The information herein was furnished by the Seller. Neither Sunbelt Business Brokers Pasadena, nor its agents, have verified the information and make no representation as to its accuracy, completeness or reliability. It is buyer’s responsibility to perform independent due diligence to verify all the information, with the aid of appropriate professionals, if necessary, prior to purchasing the Business.",$600000,$1829207,$254291,,,76.92,2.36,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/turnkey-profitable-five-star-bakery-and-deli/2291284/,,"Turnkey, Profitable Five Star Bakery & Deli","San Luis Obispo, CA","Opportunity to own a profitable and completely turnkey bakery with deli offering. Located in prime downtown area on charming street with high foot traffic and surrounded amongst downtown businesses. Established repeat cliental and preferred vendor for many local businesses. Highest reviewed bakery in San Luis Obispo on Google and Yelp. Established social media presence and comprehensive website. Included in sale; all recipes, equipment, furniture, and merchandise. Reasonable lease in place until September with option to renew. Owner willing to stay on and train.",$259000,$324050,$118000,"$171,959",,36.41,2.19,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/profitable-liquor-store-with-low-rent-for-sale-in-sacramento-ca/2275969/,,"Profitable Liquor Store with Low Rent for Sale in Sacramento, CA","Rancho Cordova, CA","Looking for a profitable business opportunity? This well-established liquor store is now available for sale! This large liquor store boasts a vast selection of beer, wine, spirits, and convenience items, making it a go-to destination for loyal customers and passersby alike.

This liquor store is unqiue since it offers multiple revenue streams, including a fully operational e-commerce website that ships liquor across California, an established U-Haul rental operation, and local delivery service through DoorDash.

Details:
* Square Foot: 3,800 | 28 Door Cooler | Ample Parking
* Rent: $3,900/month | $50 Annual Increase
* Diverse Product Selection
* One of the Largest Liquor Stores in the area with ample storage and display space
* Located on a very busy street in a good & safe neighborhood.",$850000,$1300000,$250000,"$200,000",,19.23,3.4,,Yes,,Aleem
https://www.bizbuysell.com/Business-Opportunity/orange-county-car-rental-business-for-sale/2254293/,,Orange County Car Rental Business for Sale!,"Costa Mesa, CA","Independent Family Owned Car Rental Business For Sale in the Beautiful City of Costa Mesa/Newport Beach, California. In business since 1983! (40 years) The reason for selling is owner recently got a cancer diagnosis, and with that is now looking to pass his successful business on to someone else who can enjoy it, as he has over the last 20 years.

Business Perks: Excellent Location, Long Lease, Operates in Niche, and has consistently brought in around $10k+ each month. For the right Owner/Operator, this number can very well increase with more cars to rent and to sell.

Price: $389k including 20 cars inventory.

This is a great opportunity for those looking for something that they can run either part-time or full-time. Business is located just 5 minutes to Newport Beach, 15 minutes to John Wayne Airport, 20 minutes to Disneyland, and 10 minutes to main shopping malls; South Coast Plaza, and Fashion Island so it’s the optimal place to get many tourists who come year-round.

Services Offered by Business: Dealership (Selling off the old fleet, buying new cars tax exempt)

This is a must-see business for anyone looking for the American dream and the option to work Part-Time/Full-Time.

Feel free to get in touch if you have any questions. Full financials are only available once a Non-Disclosure statement has been signed. Please only qualified buyers reply. Must show financial ability to be qualified. Thank you!

P.S. Due to owner's health issues, his long time friend Alden will be handling communication with those interested. Once buyers are qualified by sending proof of financials directly to Owner; only then will the owner be available for direct contact with potential buyer. Thank you for your understanding.

If possible, owner would like interested buyers to send a bio along with their proof of financials. Owner wants to ensure the business goes to the right person.

Thank you,
Ben (Posted with the help of Alden)

Business's Website: www.aacarrental.net",$389000,$168000,$120000,,,71.43,3.24,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/available-feb-2025-craft-food-business-spices-and-tea/2254134/,,Available Feb 2025:  Craft Food Business – Spices & Tea,"Marysville, CA","Be your own boss!

With a national following through ecommerce as well as brick and mortar locations in Tiburon and Marysville, CA, Local Spicery manufactures and sells consumer-direct, all-natural, freshly milled, highest-quality spices and seasonings. In the past decade, we’ve grown the company from hobby to profitability.

In 2023, the company has:

>>> Achieved 25% SDE return on $437,00 annual revenue.

>>> Shipped more than 3400 internet orders across the US.

>>> Sold more than 10,000 jars of spice at our Tiburon retail store.

>>> Created custom blends for wholesale customers.

>>> Established new wholesale accounts with local grocery stores.

>>> Maintained nearly 60% open rate of our e-mail newsletter.

With the research done, the brand created, and the foundation laid, Local Spicery is ready for a new owner to take it to the next level!

HIGHLIGHTS

>>> Proven diverse sales approach in place with two brick & mortar retail locations, ecommerce with affiliate program, farmers market/festival capability, and wholesale programs.

>>> Verified production processes/procedures that meet FDA requirements to ensure quality and food safety.

>>> Fully permitted 2400-square foot production facility in iconic historic building purpose-built for processing dry ingredients.

>>> Entree into niche markets: organic specialty food (Local Spicery holds an OPFR but is not certified organic), vegan/WFPB specialty food with national following (Local Spicery was highlighted in Forks Over Knives Magazine in 2021), small to moderate co-packing (tested up to 450 pounds of one lot), and Marin County presence (Only dedicated spice store in the county, solid local following, targeted signature blends named after Marin locations.)

DETAILS

Marysville RE: 2400 SF; low triple-net lease available; complete building reconstruction in 2018 plus more than $150,000 in building improvements specifically related to the business. (Building purchase possible under separate transaction.)

Tiburon RE: 475 SF; leased; more than $30,000 in tenant improvements including apothecary-style cabinets, bay window display shelving, and Carrara marble countertop. (Buyer to be approved by and lease to be negotiated with landlord.)

Inventory: Included (2023 YE value estimated at more than $70,000)

Employees: 5 part-time trained employees

Furniture, Fixtures,
& Equipment (FF&E): Included

Competition: Business has a great reputation and established niche markets which help insulate it from competition.

Growth & Expansion: Expand product offerings, further develop wholesale opportunities, build additional retail outlets or offer franchises, explore additional niche markets, build partnerships.

Support & Training: One-month transition support

Financing: No owner financing

Reason for Selling: Retirement",$375000,$437000,$109700,,,25.1,3.42,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/sustainable-wholesale-trade-pet-product-business-with-strong-brand/2229441/,,Sustainable Wholesale Trade Pet Product Business With Strong Brand,"San Francisco, CA","This is a rare chance to acquire a top-tier business in the pet product industry, acclaimed for its steadfast commitment to pet boutique quality and mass market pricing. The brand has carved out a significant niche in the market, appealing to a growing demographic of environmentally conscious pet owners who insist on the best for their pets.

The business prides itself on its strategic development of quality products with an eye for design and sustainability. This has fostered a strong brand identity and dedicated customer base. Revenue streams are well-established, featuring coveted shelf space with a leading national retailer and robust online sales through partnerships with leading e-commerce retailers and marketplaces.

Customer service excellence and a commitment to quality have led to high repeat purchase rates. The company's foundation of financial robustness and sustained market demand is a testament to its success and a strong foundation for continued growth.

Of the many avenues for expansion available, some of the lowest-hanging fruit include driving traffic to the company’s fully established yet untapped Shopify site, expanding products with committed retail partners, increasing focus on marketplaces, and creating programs to leverage customer lists. The groundwork for a dynamic online presence is already in place, and with strategic development, the possibilities for growth are substantial.

The business is on an upward trajectory with a fine-tuned channel strategy, including launching a significant retail partner in Fall 2023. From a 3PL and backend perspective, the company’s foundation is solid and prepared to support whatever growth marketing can drive.

The brand resonates deeply with family values, love, and a heritage rooted in pet rescue. It passionately promotes a legacy of compassion and care that resonates with pet-loving households.

Highlights:

- Strong market position with a respected brand reputation
- A dedicated customer base with high repeat business rates
- A premium line of eco-conscious products that blends quality and design with mass-market pricing
- Established and fruitful relationships with top-tier and challenging to secure, retail partners

This business represents an exceptional opportunity for prospective buyers looking to capitalize on a well-established company in a thriving industry. With its foundation in quality and sustainability, it is poised for continued success and growth.",$1100000,$912182,$151430,,,16.6,7.26,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/established-multi-unit-pizza-franchise-opportunity-riverside-ca/2318500/,,"Established Multi-Unit Pizza Franchise Opportunity – Riverside, CA","Riverside County, CA","Rare opportunity to acquire two high-performing, turn-key pizza franchise locations in Riverside, CA. These well-established, fully operational units are strategically located within close proximity to each other, benefiting from strong brand recognition and a loyal customer base.

Business Highlights:
2024 Projected Net Sales: $2.5M
Fully Non-Owner Operated: Experienced management and staff in place, ensuring smooth day-to-day operations.
New Franchise Agreements: Recently renewed long-term agreements provide security and stability for the new owner.
Prime Locations: Both locations are situated in high-traffic areas with excellent visibility and consistent foot traffic.
Scalable Operations: Ideal for investors looking for immediate cash flow with minimal involvement.
Room for Expansion: Opportunities to expand into new territories or add additional units in the surrounding area for increased market share.
Ideal Buyer:
This opportunity is ideal for an investor seeking a high-performing, fully-managed franchise operation or an experienced operator looking to expand their portfolio with a reputable pizza brand.

Don’t miss this chance to acquire two thriving franchise locations with solid financial performance and the potential for future growth in one of California’s most attractive markets.",$1900000,$2400000,$550000,"$5,000",,22.92,3.45,,Yes,,Aleem
https://www.bizbuysell.com/Business-Opportunity/outstanding-oc-independent-commercial-insurance-agency/2291353/,,Outstanding OC Independent Commercial Insurance Agency,"Irvine, CA","This 16-year-old commercial-focused agency was started by an individual who brought in a partner in 2012 to manage and develop the Property and Casualty division. This division grew from $600,000 in Premium to $6,500,000, more than 1,500 policies, and nearly $875,000 in annual commissions and fees.

Contractors are the Agency’s Commercial Market niche, representing 65% of their Commercial policies. These include General Liability, Excess Liability, Commercial Auto, and Worker’s Comp.

Personal Lines account for 35% of the policies.

Several top carriers are offered via the Smart Choice Cluster which accounts for $1.8M of total premium. The ability to transfer the cluster relationship to a Buyer is pre-approved. This means potential Buyers do not require existing appointments with Mercury, Travelers, Liberty Mutual, Guard, and others. The contract fee is grandfathered in which is subtracted from monthly commissions. Income reports reflect this expense. There is nothing extra to be paid.

The Seller currently manages all aspects of the Business including administrative roles (payroll, invoicing, audits, agency staff hiring, training, and management) and all accounting and financial tasks including customer payments, carrier payments, QuickBooks, etc.

The Seller personally manages $4M in commercial premiums with the help of one assistant account manager and one part-time commercial account manager. She also assists the Personal Lines Account Manager as needed to place business, and set up new appointments. Those accounts bring in $2M in premiums.

NDA is required to secure the comprehensive Confidential Information Memorandum (CIM) crafted by ProNova Partners.",,$875000,$466000,,,53.26,0,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/high-quality-restaurant-supply-business-for-sale/2190448/,,High Quality Restaurant Supply Business For Sale,"Sacramento, CA","This restaurant supply business has been a family run operation for decades. Finally the time has come for the family to retire and pass this business along to a new, hungry business owner. With well established relationships this business is set up to thrive with fresh leadership in place.

Please inquire for more details.",$1000000,$7500000,$350000,,"$3,600,000*",4.67,2.86,,No,,Aleem
https://www.bizbuysell.com/Business-Opportunity/set-up-for-huge-growth-with-current-revenue-over-20-million/2308190/,,Set up for Huge Growth with Current Revenue over 20 Million!,"Santa Clara County, CA","Great Business established 21 years ago. Every year revenue increasing from 7 million to over 20 million after forming union a few year back. A lot of work comes from public contracts. Commercial electrical clients. They have a reputation for their excellent craftsmanship and outstanding customer service.
The business includes a team of loyal, highly-skilled management that have been with the business for years. The Owner's oversee jobs and do bids during the week during normal operating hours with no weekends. This is a turnkey opportunity selling as a Stock Sale as it is Union and has approximately 14 million currently in contracts (WIP and completed A/R's not included ). This business can grow easy to 50 million per with more working capital. This is a great opportunity for a savvy buyer or investor.",$2999000,$20163644,$963000,"$400,000",,4.78,3.11,,No,,Aleem
