Company name,Website,Location,Email (General),Phone number,Note,Worker
 Project (746): Google Leads From Specific Keywords,,,,,,
LC Foods Company,https://www.lowcarbfoods.com/,"Front Entrance, 3809 Frazier Dr STE 101, Raleigh, NC 27610, United States",orders@lowcarbfoods.com,1 919-510-6688,,Saim
Delight Soy Foods,http://www.delightsoy.com/,"6520 Meridien Dr Suite124, Raleigh, NC 27616, United States",delight@delightsoy.com,1 919-468-1077,,Saim
CHEF MARTINI FOOD PRODUCTS,https://chefmartini.us/,"4030 Wake Forest Rd Suite 300, Raleigh, NC 27609, United States",contact@chefmartini.us,1 877-833-6644,,Saim
Frito-Lay Raleigh DC,https://www.fritolay.com/,"8924 Midway West Rd, Raleigh, NC 27617, United States","mark.balum@fritolay.com",,,Saim
United Restaurant Equipment Company,http://www.ureco.com/,"2654 S Saunders St, Raleigh, NC 27603, United States",contact@ureco.com,1 919-832-4546,,Saim
"Fords Produce Company, Inc.",http://www.fordsproduce.com/,"1109 Agriculture St suite 1, Raleigh, NC 27603, United States",Sales@FordsProduce.com,1 919-833-7559,,Saim
Good Time Ice Cream Distributor,https://www.goodtimeicecream.com/,"4661 Paragon Park Rd, Raleigh, NC 27616, United States",antonio.rosado@goodtimeicecream.com,1 919-876-3363,,Saim
Papasonn Produce,http://papasonnproduce.com/,"1460-A Diggs Dr, Raleigh, NC 27603, United States",john@papasonnproduce.com,1 919-821-9899,,Saim
Specialty South Food Services Distribution,http://www.specialtysouth.com/,"3200 Gresham Lake Rd # 117, Raleigh, NC 27615, United States",matboone@gmail.com,1 919-855-8548,,Saim
Cary Restaurant Equipment,https://www.pfssales.com/?utm_source=GMB&utm_medium=organic,"4701 Beryl Rd, Raleigh, NC 27606, United States","info@pfssales.com",1 919-829-1116,,Saim
"L&M Warehouse and Packing, INC",http://caryrestaurantequipment.com/,"7050 Old Wake Forest Rd, Raleigh, NC 27616, United States",info@caryrestaurantequipment.com,1 919-655-1376,,Saim
Affinity Group,http://www.lmcompanies.com/,"1101 Agriculture St, Raleigh, NC 27603, United States",greg.cardamone@lmcompanies.com,1 919-875-4020,,Saim
Ward's Fruit & Produce Inc,http://affinitysales.com/,"3835 Generosity Ct Suite 100, Garner, NC 27529, United States",info@affinitysales.com,1 855-764-9467,,Saim
