Job Post Title,Job Post Link,Salary,Date,Job Responsibilities,Job Requirements,Required Languages,Position type,Experience,Company Name,Company Website,Company Industry,Company Details,Company Email,Company LinkedIn,Notes,Worker
KAM_RS,https://www.hiredchina.com/jobs/1ad2baad-36a8-402d-b196-b343bc4b791e,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Industry Development Director (Consultant Market),https://www.hiredchina.com/jobs/0fd8c78e-906c-4855-a418-bbcf8f7bfc4a,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Event Manager (based in the USA),https://www.hiredchina.com/jobs/43b0cf7c-e7be-44d7-9aea-004e23605318,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Market Director (US）,https://www.hiredchina.com/jobs/a65f9973-164b-4eec-894d-df89e4acdd79,70k - 80K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
"Country Manager (United States, Japan, Singapore)",https://www.hiredchina.com/jobs/b7bc628f-8b06-452f-8e82-a325c8a6050e,More than 100K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
Sales Director of USA Market,https://www.hiredchina.com/jobs/c71b2d4a-cfc8-49da-8fbc-81387fea0014,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Events Coordinator/Manager,https://www.hiredchina.com/jobs/d68ea963-bc6c-495a-88be-85e32f8e2760,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
"Account Manager based in CA, USA",https://www.hiredchina.com/jobs/0092b28e-1d69-4541-919f-60e37a0f3dfa,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Sales Manager,https://www.hiredchina.com/jobs/6ea96e00-a8a4-46b6-93d1-fb30a5001fc1,45k - 50K RMB per month,,,,,,,"VBill Payment Co., LTD.",,,,,,Duplicate,
Brand Ambassador,https://www.hiredchina.com/jobs/8af4a991-cf41-459b-9299-4dc0e2cd1eb6,20K - 25K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
Sales Manager,https://www.hiredchina.com/jobs/8030a524-33ab-400b-ae8e-981be63a3d24,70k - 80K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
Fashion Brand Business Dev Manager in US,https://www.hiredchina.com/jobs/9844fa2c-6ba4-4b30-8d11-acac0862f14d,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
"Website Content Specialist （Based in USA,Speak Chinese)",https://www.hiredchina.com/jobs/a7cfaed3-d65a-4e6b-90e1-de4342767895,35K - 40K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
"Amazon Operations Specialist（based in USA,Speak Chinese)",https://www.hiredchina.com/jobs/0f5a32ab-511e-4051-aa4e-68acc07234f8,35K - 40K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/91898c02-5e87-423d-8a12-276fb202c880,35K - 40K RMB per month,,,,,,,HiredChina,,,,,,Duplicate,
Key Account Manager based in US,https://www.hiredchina.com/jobs/3129807a-a208-4051-9291-1d1635cfbe08,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Brand Ambassador,https://www.hiredchina.com/jobs/06912770-08ff-4c44-938a-ab90efa5a096,Negotiable,,,,,,,HiredChina,,,,,,Duplicate,
Sales Manager (US),https://www.hiredchina.com/jobs/94fb781b-1935-4601-a5a4-bf49b84709fc,30K - 35K RMB per month,,,,,,,Shanghai Union Technology Corporation,,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/fa533494-4021-434c-bd47-751530b82767,10K - 15K RMB per month,Refresh at 8 days ago,"• Develop and expand international customer resources, actively explore overseas markets through various channels such as B2B platforms, exhibitions, and cold - calls.• Handle international trade business negotiations, quotations, and contract drafting to ensure smooth cooperation with customers.• Coordinate with internal departments including production, logistics, and quality control to ensure on - time delivery and high - quality products.• Follow up on after - sales service, resolve customer issues promptly, and maintain good long - term relationships with clients.","• Bachelor's degree or above, major in International Economics and Trade, Business English, or related fields.• At least 1 - 2 years of experience in foreign trade sales. Fresh graduates with excellent intern experience are also welcome.• Fluent in English, both in written and oral communication. Other foreign language skills are a plus.• Familiar with international trade processes, relevant laws, regulations, and practices.• Proficient in using office software and international trade tools like Alibaba International Station.• Strong communication, negotiation, and problem - solving abilities.","Korean, Japanese, German, English, Russian",,,"NINGBO SEVELIN HOUSEWARE CO., LTD.",http://www.sevelinhouware.com/,,"We are an innovative company in Ningbo city China, we want some sales recp. to join us.
our main market is Germany, Russia and Africa. we supply household products for more than 9 years.",,,Web Error,
Sales Representative,https://www.hiredchina.com/jobs/f90f80aa-2590-4add-8c94-8795a145ebc7,10K - 15K RMB per month,Refresh at a month ago,"1. Responsible for the channel development and construction of the regional market, and assist dealers in developing the regional market. 2. According to the sales indicators undertaken by the department, decompose the regional sales indicators, and formulate regional marketing strategies to ensure the completion of sales tasks. 3. Responsible for analyzing the overall macro policies, laws and regulations, market demand, competitive product sales and competitive product pricing strategies of the regional market, and proposing countermeasures. 4. Responsible for customer relationship maintenance, digging customer needs, and providing customers with systematic product solutions. 5. Establish and improve the regional market channel management system to ensure that channel sales, payment collection and other work are carried out in an orderly manner. 6. Responsible for the evaluation of channel distribution capabilities, and formulate improvement plans based on the evaluation results, and assist dealers in formulating marketing plans.","1. Educational background: bachelor degree or above, major in science and engineering such as automobile, machinery and target market language; 2. Knowledge and skills: have basic knowledge of vehicle manufacturing, commissioning and maintenance, be familiar with overseas service processes and service station operations, and master training management skills; 3. Work experience: more than 3 years of overseas sales experience; 4. Quality requirements: good language, writing and communication and coordination skills, good business negotiation skills, market judgment skills, interpersonal skills, and target market language skills; 5. Age: under 40 years old.",English,Sales director,3～5 years,"Shaanxi Automobile Group Co., Ltd. (S)",https://www.sqsyc.com.cn/,Manufacturing,"Shaanxi Automobile Group Co., Ltd. was founded in 1968, since the establishment of the factory, always keep in mind the original mission of creating excellence and serving the country, and lay out two major industrial clusters in Xi'an and Baoji. Shaanxi Automobile Group Commercial Vehicle Co., Ltd. (hereinafter referred to as ""Shaanxi Automobile Commercial Vehicle"") is affiliated to Shaanxi Automobile Group Co., Ltd., headquartered in Caijiapo Economic and Technological Development Zone, Baoji City, Shaanxi Province, covering an area of 907 acres, with more than 1,600 employees. Sales backbone enterprises.",,,Email N/F,
Sales Representative,https://www.hiredchina.com/jobs/381b80e4-a059-449a-aba5-673e9292117b,10K - 15K RMB per month,Refresh at a month ago,,,,,,"Shaanxi Automobile Group Co., Ltd. (S)",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/acb62950-bdac-44a2-b9b5-3040df32390b,10K - 15K RMB per month,Refresh at a month ago,,,,,,"Shaanxi Automobile Group Co., Ltd. (S)",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/1c0f25d9-3724-4f84-9257-8879df4d286f,10K - 15K RMB per month,Refresh at a month ago,,,,,,"Shaanxi Automobile Group Co., Ltd. (S)",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/9ff2b3dd-8eb8-4f60-9165-5d660d7e3d0a,10K - 15K RMB per month,Refresh at a month ago,,,,,,"Shaanxi Automobile Group Co., Ltd. (S)",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/ca64545c-6aec-4085-80a9-a147f94d91c5,10K - 15K RMB per month,Refresh at a month ago,,,,,,BAICHUAN BIO- TECHNOLOGY CO.，LTD,,,,,,Duplicate,
Sales Representative(Viet Nam nationality),https://www.hiredchina.com/jobs/4d599a27-a5eb-4daa-8f8b-a9735d08b2c7,10K - 15K RMB per month,Refresh at a month ago,,,,,,BAICHUAN BIO- TECHNOLOGY CO.，LTD,,,,,,Duplicate,
Foreign Trade Sales Representative.,https://www.hiredchina.com/jobs/d4712059-77eb-46fa-b0e8-926df919ade0,30K - 35K RMB per month,Refresh at a month ago,,,,,,PXN(L),,,,,,Duplicate,
Outside Sales Representative,https://www.hiredchina.com/jobs/a416501c-0934-41d2-b3d5-3ff812dedc11,Negotiable,Refresh at 2 months ago,,,,,,VOZOL,,,,,,Duplicate,
"Field Sales Representative (Atlanta and Savannah, Georgia)",https://www.hiredchina.com/jobs/b40ca42d-4950-4c04-8d20-5dbcdd39e6ec,20K - 25K RMB per month,Refresh at 2 months ago,,,,,,Shenzhen SKE Technology Co.,,,,,,Duplicate,
Sales Representative in Indonesia,https://www.hiredchina.com/jobs/cdb0c1d7-2139-408c-9dfb-9c44b46bbcd4,Negotiable,Refresh at 2 months ago,,,,,,"Shenzhen Zhilian Shengya Electronic Technology Co., Ltd.",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/2c3c37a2-0796-48bb-b21a-607489baeaa6,Under 10K RMB per month,Refresh at 2 months ago,,,,,,"Century Holiday Travel Group Co.,Ltd",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/f5f67af8-b1ba-4d76-be31-554c1044925e,Under 10K RMB per month,Refresh at 2 months ago,,,,,,"Century Holiday Travel Group Co.,Ltd",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/e4cc6975-448c-40bc-ad28-649b6403718d,Negotiable,Refresh at 2 months ago,,,,,,ONYX,,,,,,Duplicate,
Overseas Sales Representative (Korean/English),https://www.hiredchina.com/jobs/5ea11b16-fe83-4a1e-9322-6db513a25d18,Negotiable,Refresh at 2 months ago,"1. Responsible for conducting overseas market research, collecting market information, and looking for potential customers;2. Responsible for formulating personal overseas market development plans according to the sales strategy established by the company;3. Responsible for leading the quality certification of products according to the needs of overseas customers;4. Responsible for negotiating with customers, drafting sales contracts and submitting them for approval;5. Responsible for pushing payment according to the contract;6. Responsible for cooperating with the quality department to complete product stocking and cooperating with the warehousing and logistics department to complete product delivery;7. Responsible for maintaining customer relationships and completing customer satisfaction surveys;8. Responsible for cooperating with the quality assurance department to complete the signing of customer technical agreements, quality agreements and other warehousing agreements;9. Responsible for arranging the reception of customer visits.","1. Bachelor degree or above, major in chemistry and chemical engineering, applied chemistry, international trade, economic management, English, Korean, etc.;2. Overseas sales experience, new energy industry work experience, Korean/English as the working language;3. Good customer management ability and internal and external communication skills;4. Excellent data processing and analysis skills.","Korean, English",,,Canmax,,,"Tianhua New Energy was founded in 1997 and listed on the Shenzhen Stock Exchange in 2014 (stock code: 300390.SZ). Its total revenue exceeded 10 billion for two consecutive years from 2022 to 2023, and it became one of the top 500 private enterprises in China's manufacturing industry in 2023. After nearly three decades of professional accumulation, the company has successively made in-depth layouts in the fields of static electricity and micro-pollution prevention and control, medical care, new energy, etc., and has become an innovation-driven diversified industrial group, injecting strong momentum into the development of new quality productivity with scientific and technological innovation. Since its establishment, Tianhua New Energy has responded quickly to the ever-changing market environment, and has made in-depth layouts in the three major business areas of new energy lithium battery materials, anti-static ultra-clean technology products, and medical device products. It continues to lead and is in a leading position in all segments, providing global customers with high-quality products and services. We look forward to your joining us to continuously improve quality and efficiency, enable industrial innovation and upgrading, and contribute to promoting high-quality development of the industry! Company Vision: Committed to becoming an internationally leading innovative new energy technology enterprise Company Values: Customer-oriented, excellence, innovation, integrity, pragmatism, win-win situation Canmax was established in 1997 and listed on the Shenzhen Stock Exchange in 2014 (stock code: 300390.SZ), with total revenue exceeded 10 billion yuan for two consecutive years from 2022 to 2023. Canmax was rewarded as one of the top 500 private enterprises in China's manufacturing industry in 2023. After nearly 30 years of professional accumulation, Canmax has successively made in-depth layout in the fields of electrostatic and micro-pollution prevention and control, medical treatment, and new energy, and has become an innovation-driven diversified industrial group, injecting strong momentum into the development of new productive forces with scientific and technological innovation. Since its establishment, Canmax has quickly responded to the rapidly changing market environment, and has made in-depth layout in the three major business areas of new energy lithium battery materials, anti-static ultra-clean technology products, and medical device products, and is in a leading position, providing high-quality products and services to global customers. Company vision: Committed to industry leading and innovative practices for the transformative green energy transition Company values: Customer-oriented, Excellence, Innovation, Integrity, Pragmatism, Win-win",,,Web N/F,
Sales Representative,https://www.hiredchina.com/jobs/276c1533-3e0d-4636-a19d-5d89070d4793,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,Hailir(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/8824c51d-e88d-4d1c-b131-1fe3a73a8878,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,Hailir(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/787d593f-1bcc-4e49-b6d2-4a04c6fc8f26,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,Hailir(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/26d70dc8-48a2-4fa6-83ce-88de14e47268,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,Hailir(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/ab73a96c-f373-4927-8a94-7e0b2ad7a113,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,Hailir(H),,,,,,Duplicate,
Overseas Sales Representative,https://www.hiredchina.com/jobs/7ff374c0-1c88-4b97-8d21-7d45ac71837d,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,ASIASTAR(Y),,,,,,Duplicate,
Overseas Sales Representative,https://www.hiredchina.com/jobs/6282d75f-23f3-4e85-afa0-806bcc99e166,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,ASIASTAR(Y),,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/a6f6b09c-c604-4101-974a-6ab421658458,15K - 20K RMB per month,Refresh at 4 months ago,,,,,,Phoenix(F),,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/aef4d272-dd8e-4cf9-b636-66674f9dbf10,15K - 20K RMB per month,Refresh at 4 months ago,,,,,,Phoenix(F),,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/44e607a0-3d68-4dd0-95c0-7357f09315ad,15K - 20K RMB per month,Refresh at 4 months ago,,,,,,Phoenix(F),,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/bb06e0f8-2a67-4df4-bf63-024db6c219c5,15K - 20K RMB per month,Refresh at 4 months ago,,,,,,Phoenix(F),,,,,,Duplicate,
Foreign Trade Sales Representative,https://www.hiredchina.com/jobs/2b48eee8-5094-4a03-aa88-423190d2df68,15K - 20K RMB per month,Refresh at 4 months ago,,,,,,Phoenix(F),,,,,,Duplicate,
Export Sales Representative,https://www.hiredchina.com/jobs/f7681613-bc8c-4dd0-869d-442d5d0d760c,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,TOPA(T),,,,,,Duplicate,
Export Sales Representative,https://www.hiredchina.com/jobs/9e4ab2e7-5dd0-4386-ba74-e37ce00ed142,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,TOPA(T),,,,,,Duplicate,
Export Sales Representative,https://www.hiredchina.com/jobs/840be351-8dac-4c40-b042-677141c5ae69,10K - 15K RMB per month,Refresh at 4 months ago,,,,,,TOPA(T),,,,,,Duplicate,
sales representative,https://www.hiredchina.com/jobs/c055e82f-0c68-4686-9223-4de51e658ea5,10K - 15K RMB per month,Refresh at 6 months ago,,,,,,"Nabilo Winery (Shanghai) Co., Ltd",,,,,,Web N/F,
Sales Representative in Thailand,https://www.hiredchina.com/jobs/f2666e81-eba3-47c2-8638-4f9b3ca0fb05,10K - 15K RMB per month,Refresh at 6 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Sales Representative in Dubai,https://www.hiredchina.com/jobs/a1f8ce73-5f94-4af2-a3ff-5855bb7479a5,15K - 20K RMB per month,Refresh at 6 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Sales representative,https://www.hiredchina.com/jobs/eca0e331-7640-4fd8-9d04-22797c0de0f1,10K - 15K RMB per month,Refresh at 6 months ago,,,,,,"Guangrui Qida (Beijing) Enterprise Management Consulting Co., Ltd.",,,,,,Web N/F,
Sales Representative,https://www.hiredchina.com/jobs/99274db1-2490-48a7-b89f-a6c41827ba22,80k - 90K RMB per month,Refresh at 7 months ago,,,,,,Tongdun Technology(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/209a9926-2f18-49a3-93ca-5e55ab3363f7,80k - 90K RMB per month,Refresh at 7 months ago,,,,,,Tongdun Technology(H),,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/359f00d0-bb79-470c-8eb7-7b679cefc901,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Dongguan Blue Square Lithium Technology Co., Ltd",,,,,,Web N/F,
Sales Representative,https://www.hiredchina.com/jobs/63811dc8-45e6-4720-82e1-19ec12a08a1c,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Dongguan Blue Square Lithium Technology Co., Ltd",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/d2eda469-2696-44a0-8998-3dbf6be07cb9,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Dongguan Blue Square Lithium Technology Co., Ltd",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/08c3c0de-1c37-493e-aa28-d4a662dafba0,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Dongguan Blue Square Lithium Technology Co., Ltd",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/5d660472-8fd6-41cb-829e-8f1de0bead63,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Dongguan Blue Square Lithium Technology Co., Ltd",,,,,,Duplicate,
Sales Representative - Middle East market,https://www.hiredchina.com/jobs/0be2adce-985f-47ca-9ca0-22df9e478d3f,10K - 15K RMB per month,Refresh at 7 months ago,,,,,,"Shanghai Xiniu Information Technology Co.,Ltd",,,,,,Web N/F,
"Sales Representative( French, English)",https://www.hiredchina.com/jobs/1dda78de-9cf9-46b6-8c49-c8716dd1bb60,15K - 20K RMB per month,Refresh at 7 months ago,,,,,,UC Global Trade INC,,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/ebf9b4e0-b5a3-4ec9-ad1d-fe53cc63bdd9,50k - 60K RMB per month,Refresh at 7 months ago,,,,,,"Shenzhen Greenjoy Technology Co., Ltd.",,,,,,Duplicate,
Sales Representative in Vietnam,https://www.hiredchina.com/jobs/f3592338-8849-49ab-a321-8dfcf49fbbb8,15K - 20K RMB per month,Refresh at 7 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Sales Representative in different countries,https://www.hiredchina.com/jobs/ce531bff-8ccf-4847-80dc-cf8da07fc587,15K - 20K RMB per month,Refresh at 7 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/eaaa55f1-23a7-4cf2-9484-d8df9b0793f3,15K - 20K RMB per month,Refresh at 7 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/d9f004d5-f929-4e74-938f-f53636b518dc,15K - 20K RMB per month,Refresh at 7 months ago,,,,,,"HUIATECH PRINTING TECHNOLOGY CO., LIMITED",,,,,,Duplicate,
Overseas Sales Representative (Vietnam) 2 people,https://www.hiredchina.com/jobs/d8ba4344-219c-4041-94d5-3d2cb772405f,Negotiable,Refresh at 7 months ago,,,,,,cmech,,,,,,Duplicate,
Overseas Sales Representative (Areas: Thailand) 2 people,https://www.hiredchina.com/jobs/98344762-1ed8-45e3-92c9-4599192d173f,Negotiable,Refresh at 7 months ago,,,,,,cmech,,,,,,Duplicate,
"Sales Representative( German, English)",https://www.hiredchina.com/jobs/fa177375-b416-4ebb-901a-d6ce1b49f6ce,Negotiable,Refresh at 7 months ago,,,,,,UC Global Trade INC,,,,,,Duplicate,
Foreign sales representative,https://www.hiredchina.com/jobs/d680af78-25b5-4840-8ba8-4870fa45cb9e,15K - 20K RMB per month,Refresh at 7 months ago,"1. Assist the company to take short videos of product use and create video copy;2. Responsible for the live broadcast of overseas media such as alibaba, TIKTOK, Instagram, YouTube and other platforms;3. Assist in receiving foreign customers who come to our company for investigation, and develop foreign markets;4. Execute the company's trade business, implement trade regulations, and expand the market;5. The expansion and maintenance of customers, the collation and filing of business-related data;6. Report on relevant business work.","1. Foreigners have good image and temperament, enthusiasm, openness and generosity, and quick thinking.;2. Proficient in English, good oral English. With strong language expression ability and lens expressiveness, communication is natural and smooth. (native speakers of English are preferred);3. Job requirements: use the company's existing electronic inquiry platform, pay attention to inquiries, handle inquiries, track inquiries, and find valuable target customers;4. Excellent moral character, enterprising spirit, good team spirit, enthusiasm and responsibility for work, and hope to get long-term development in the field of Internet and e-commerce.",English,,,"Middling coal Industry and Mining Materials Group Co., Ltd",,,"Shandong China Coal Mining Materials Group Co., Ltd. (hereinafter referred to as China Coal Group) was established in 1994. It has 47 holding companies, 3 Hong Kong companies, 1 Hainan company, 1 British Cayman company and 1 American company, with more than 1,100 employees. It is a large-scale diversified group integrating intelligent equipment manufacturing, scientific and technological research and development, e-commerce, information technology, software development, big data, film and television media, education and training, and technology incubation, across regions and industries.",,,Web N/F,
Sales Representative,https://www.hiredchina.com/jobs/91898c02-5e87-423d-8a12-276fb202c880,35K - 40K RMB per month,Refresh at 7 months ago,,,,,,HiredChina,,,,,,Duplicate,
sales representative,https://www.hiredchina.com/jobs/c275fb27-8f65-424b-b74d-59276df24936,Negotiable,Refresh at 7 months ago,,,,,,BtoMart,,,,,,Web Error,
Sales Representative,https://www.hiredchina.com/jobs/0c63cb67-2818-4222-8a6c-2e433842432d,10K - 15K RMB per month,Refresh at 7 months ago,"1. Be knowledgeable about the product2. Identify prospective customers, lead generation and conversion3. Contact new and existing customers to discuss needs4. Emphasize the features of products to highlight how they solve customer problems5. Answer questions about the products6. Negotiate prices and terms and prepare sales agreements7. Collaborate with colleagues in many different sectors8. Maintain contact lists and follow up with customers to continue relationships","1. A true desire to satisfy the needs of others in a fast paced environment.2. Prefer selling, negotiating, business writing and presentation skills training.3. Confidence and strong self-assuredness to succeed in cold-calling customers and making a sale4. Communication skills, especially persuasion, to clearly convey the benefits of a product to potential customers","Spanish, French, English",,,Guangdong Wuyou Supply Chain Co. LTD,,,"1. Company Profile Guangdong Wuyou Supply Chain Co., Ltd. was established in 2011. It is a company specializing in providing one-stop services for cross-border logistics and related agents. After continuous innovation and development, it has grown from a small startup company to a comprehensive cross-border logistics service provider such as FBA first-leg service dealer, overseas warehouse, and dedicated parcel. 2. The company's strategic goal is to rely on the strong backing support and platform of the group and the investment parent company to become an industry-leading supply chain service company. 3. Company Development History The company is headquartered in Shenzhen, and has successively established branches in Guangzhou, Yiwu, Dongguan, Ningbo, Shanghai, and Robin, USA. Canada Meitong is our parent company. Wuyou has self-operated logistics LCL warehouses in Los Angeles, USA, Shenzhen Pinghu, Shenzhen Fuyong, Yiwu, and Guangzhou, which can provide cross-border e-commerce and peer agents with collection, LCL, transshipment and other in-warehouse services. The JHT logistics system independently developed by it can realize online ordering, booking, tracking and other services, forming an intensive, information-based, networked and professional logistics management system. In 2020, it will be the first in the industry to use an automated sorting system, committed to improving customer management efficiency and helping customers save communication costs. It is the first in the industry to establish a risk and compliance department to check for customers' cross-border overseas operations and reduce customer risks and logistics risks. The company is currently in a period of rapid development and has become unique in the cross-border e-commerce logistics market, especially in Canada and the United States. It is very competitive in the market. 4. Corporate Culture Corporate Mission: Create value for cross-border e-commerce companies and make cross-border logistics easier! Corporate slogan: Wuyou Wuyou, worth having! Corporate Vision: Make cross-border logistics easy Business philosophy: Customer-centric, talent-based Technology as the lifeline, product as the king Risk control as the principle, global market Employees' values: Only hard work can give you opportunities, and dedication to improve your ability determines value, and co-creation can lead to a win-win situation",,,Email N/F,
Sales Representative,https://www.hiredchina.com/jobs/sales_representative_1598340223843,Under 10K RMB per month,Refresh at 7 months ago,,,,,,DOOSHION,,,,,,Web Error,
Russia Sales Representative,https://www.hiredchina.com/jobs/f6b7bd0d-3849-4b61-b339-78956d15c34c,10K - 15K RMB per month,Refresh at 7 months ago,,,,,,"SHENZHEN GUANKE TECHNOLOGIES CO.,LTD",,,,,,Duplicate,
Sales Representative,https://www.hiredchina.com/jobs/sales_representative__1610606100476,25K - 30K RMB per month,Refresh at 7 months ago,"-Focus on B2B sales in the indoor growing industry, the household appliance industry, the consumer electronics industry-Identify customer/market opportunities and follow up with leads to drive sales generation-Maintain relationship with key account customers, -To achieve sales targets by increasing product sales to existing and potential customers.-Assess sales potential in order to achieve specific sales targets.-Support Marketing events and campaigns-Provide some level of technical support and consultancy to customers Support general business development in US and complete jobs and the tasks assigned by GMSinowell is the top manufacturer and designer of indoor gardening equipment and home improvement products in the world. We produce quality grow lights (LED, HID, CMH) and provide excellent OEM/ODM services to our customers.","-2+ years of experience in B2B sales in the indoor growing industry, the household appliance industry, or the consumer electronics industry-Must be able to plan, organize, and control the execution of SINOWELL sales and cooperate with consumer marketing plans to customers throughout the US-Must have a history of establishing and following efficient, economical sales patterns that ensure assigned accounts are contacted and serviced based on account classifications and sales potentials-Must prepare professional sales presentations for each sales call or sales visit tailored to current needs of our customersCandidates from the US are preferred as our clients are from North America so understanding US culture and market are crucialThis could be full-time or contract position and will based in our head office in Shanghai ,China. Salary will be based on experience.Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from China due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.",English,"SINOWELL was founded in 2009 and is one of the top global indoor gardening and hydroponic manufacturers and suppliers. We serve OEM and ODM customers from over 50 countries. We offer over 200 products ranging from reflectors, ballasts, bulbs, lamps, filters, fans and more - everything you need to build complete indoor gardening and hydroponic systems.SINOWELL is built on innovation and we are constantly developing industry leading products using the latest technology, materials and manufacturing methods. We work directly with customers who have specific product requirements and specifications. With our in-house research + development, engineering, manufacturing, logistics and customer service - SINOWELL is your one-stop-shop for all of your indoor gardening and hydroponic needs.Our factories and warehouses are carefully supervised and adhere to strict quality control and testing standards. We manage all aspects of your global supply chain and make it easy for you to import our products anywhere in the world. Our logistics, sales and customer service experts ensure competitive pricing, delivery, installation and performance and everything be sell is backed with our hassle free warranty.",,"Sinowell (Shanghai) Co., Ltd.",,,,,,Web Error,
Sales Representative,https://www.hiredchina.com/jobs/0e0724c4-442a-45a2-8dfa-550251400639,10K - 15K RMB per month,Refresh at 7 months ago,"- Cold call, direct email, and perform other lead generation activities.- Presenting, promoting and selling products using solid arguments to existing and prospective customers- Establishing, developing and maintaining positive business and customer relationships- Reports to management on customer needs, problems, interests, competitive activities, and potential for new products and services.- Develop efficient marketing and advertising strategies to increase sales- Interacting with clients and prospects via different mediums including verbal, email, social media, and other.Benefits:- Competitive Salary + social security + Sales Commission - Modern and high-end offices- Relocation to Guangzhou- China is required","Qualifications:- At least 3-5+ years of experience in apparel sales Local and Global Market- Highly motivated and target driven with a proven track record in sales- Relationship management skills and openness to feedback- Excellent knowledge in social media, and social media interactions.- Leadership skills- Fluent in spoken and written English - Self-motivated and a team player",English,Sales,3～5 years,"STRACCI TRADING CO.,LIMITED",,Clothing & Textile,,,,Web Error,
Sales Representative,https://www.hiredchina.com/jobs/7edae9ea-4ebf-48aa-8a87-8a972acba3aa,Under 10K RMB per month,Refresh at 7 months ago,,,,,,NonFiction Marketing Sdn Bhd,,,,,,Web N/F,
